STATE,NAME,YEAR,AVG,G,PA,AB,R,RBI,H,1B,2B,3B,HR,TB,EB,BB,IBB,HBP,SO,GIDP,SAC,SF,SB,CS,OBP,SLG,TA,G/F,KBB
°h§Ð,³¢«ØÀM,1992,0.278,90,390,331,58,26,92,77,12,2,1,111,15,38,0,2,30,7,17,2,13,8,0.354,0.335,0.689,1.111,1.33
°h§Ð,³¯¬F½å,1992,0.269,90,349,297,42,56,80,51,12,2,15,141,29,41,4,2,67,3,7,2,4,5,0.36,0.475,0.835,0.807,0.64
°h§Ð,Ã¹±Ó­ë,1992,0.315,89,367,330,46,53,104,71,22,2,9,157,33,31,2,4,47,11,2,0,1,0,0.381,0.476,0.857,0.989,0.74
°h§Ð,§õ©~©ú,1992,0.291,89,363,327,40,43,95,66,20,1,8,141,29,28,0,1,32,6,3,4,11,5,0.344,0.431,0.775,0.8,0.91
°h§Ð,§d´_³s,1992,0.277,89,347,278,37,37,77,56,16,0,5,108,21,42,0,3,24,7,17,7,5,10,0.37,0.388,0.758,1.422,1.88
°h§Ð,ªL¥ò¬î,1992,0.289,88,378,339,64,56,98,61,13,0,24,183,37,32,5,2,36,10,0,5,5,3,0.349,0.54,0.889,1.059,0.94
°h§Ð,ªL©ö¼W,1992,0.266,88,405,364,69,19,97,80,13,3,1,119,17,32,0,3,19,8,5,1,47,15,0.33,0.327,0.657,1.016,1.84
°h§Ð,¤ý¥ú½÷,1992,0.254,88,362,319,45,43,81,60,9,0,12,126,21,34,2,5,37,6,1,3,12,4,0.332,0.395,0.727,1.5,1.05
°h§Ð,³¯ª÷­Z,1992,0.248,88,345,315,50,52,78,53,7,1,17,138,25,21,0,3,46,9,4,2,9,3,0.299,0.438,0.737,0.728,0.52
°h§Ð,½²¥ÍÂ×,1992,0.229,86,330,284,38,17,65,49,13,2,1,85,16,26,0,7,45,4,11,2,21,6,0.307,0.299,0.606,1.367,0.73
°h§Ð,¶ÀÞ£¶©,1992,0.26,85,304,273,29,26,71,58,9,1,3,91,13,18,2,4,19,5,5,4,6,9,0.311,0.333,0.644,1.087,1.16
°h§Ð,§f©ú½ç,1992,0.258,85,347,287,49,33,74,48,15,1,10,121,26,57,2,1,38,11,1,1,9,3,0.382,0.422,0.804,1.034,1.53
°h§Ð,¬x¤@¤¤,1992,0.249,85,328,273,33,38,68,53,8,1,6,96,15,42,0,1,17,8,5,7,4,3,0.344,0.352,0.696,1.041,2.53
°h§Ð,ªL§J,1992,0.315,84,361,289,54,68,91,58,13,0,20,164,33,64,3,1,44,12,5,2,5,0,0.438,0.567,1.005,1.091,1.48
°h§Ð,³¯¥¿¤¤,1992,0.281,84,356,317,35,40,89,60,17,0,12,142,29,29,0,4,51,4,4,2,5,2,0.347,0.448,0.795,0.887,0.65
°h§Ð,Ã¹¥@©¯,1992,0.278,84,347,288,50,56,80,48,7,2,23,160,32,53,2,3,55,4,3,0,6,2,0.395,0.556,0.951,1.229,1.02
°h§Ð,³¯«Û¦¨,1992,0.267,84,311,273,36,44,73,44,16,3,10,125,29,24,0,3,43,10,4,7,3,3,0.326,0.458,0.784,0.867,0.63
°h§Ð,¦NÀ±,1992,0.274,83,319,292,32,42,80,54,16,1,9,125,26,18,2,4,20,9,1,4,2,3,0.321,0.428,0.749,1.627,1.1
